gametype,gamecode,gamename,gameplat,lang,status,maintain,nameset,language
slot,51,Ecstatic Circus,web,en,TRUE,FALSE,Ecstatic Circus,en
,,,,ko,,,엑스타틱 서커스,ko
,,,,th,,,สุขสันต์ละครสัตว์,th
,,,,vn,,,Xiếc xuất thần,vn
,,,,es,,,Circo frenético,es
,,,,id,,,Sirkus Ekstatik,id
,,,,pt-br,,,Circo em êxtase,pt-br
,,,,zh-cn,,,嗨爆大马戏,zh-cn
slot,52,Jump High,web,zh-cn,TRUE,FALSE,跳高高,zh-cn
,,,,th,,,กระโดดสูง,th
,,,,id,,,Jump High,vn
,,,,ko,,,Lompat Tinggi,id
,,,,en,,,점프 하이,ko
,,,,pt-br,,,Jump High,en
,,,,ja,,,Saltar Alto,pt-br
,,,,vn,,,Salto alto,es
,,,,es,,,ジャンプハイ,ja
slot,202,OrientalBeauty,web,zh-cn,TRUE,FALSE,舞媚娘,zh-cn
,,,,en,,,OrientalBeauty,en
,,,,ko,,,오리엔탈 뷰티,ko
slot,67,GoldenEggs,web,id,TRUE,FALSE,골든 에그,ko
,,,,pt-br,,,ไข่ทองคำ,th
,,,,zh-cn,,,TRỨNG VÀNG,vn
,,,,en,,,GOLDEN EGGS,id
,,,,ko,,,Ovos de Ouro,pt-br
,,,,th,,,赚金蛋,zh-cn
,,,,vn,,,Golden Eggs,en
fish,AB3,Paradise,web,ja,TRUE,FALSE,Paradise,en
,,,,ko,,,ホエールジャーニー,ja
,,,,th,,,고래 여행,ko
,,,,vn,,,การเดินทางของปลาวาฬ,th
,,,,zh-cn,,,Trại Cá Hoàng Kim,vn
,,,,en,,,皇金渔场,zh-cn
slot,59,SummerMood,web,vn,TRUE,FALSE,섬머 무드,ko
,,,,id,,,กอริลลาซัมเมอร์,th
,,,,pt-br,,,Gorilla Summer,vn
,,,,zh-cn,,,Gorilla Summer,id
,,,,en,,,Humor de Verão,pt-br
,,,,ko,,,夏日猩情,zh-cn
,,,,th,,,Summer Mood,en
slot,180,Gu Gu Gu 3,web,en,TRUE,FALSE,Gu Gu Gu 3,en
,,,,th,,,ปีใหม่ ไก่กุ๊กกุ๊ก 3,th
,,,,ko,,,Gu Gu Gu 3,ko
,,,,zh-cn,,,金鸡报囍3,zh-cn
slot,179,Jump High 2,web,zh-cn,TRUE,FALSE,跳高高2,zh-cn
,,,,en,,,Jump High 2,en
,,,,th,,,กระโดดสูง 2,th
,,,,es,,,Saltar alto 2,es
,,,,ja,,,ジャンプハイ 2,ja
,,,,ko,,,점프 하이 2,ko
arcade,GO169,Dragon Pachinko,web,zh-cn,TRUE,FALSE,มังกร ปาจิงโกะ,th
,,,,en,,,Rồng ChiêuＴài Bi Thép,vn
,,,,th,,,招财龙小钢珠,zh-cn
,,,,vn,,,Dragon Pachinko,en
lotto,AA01,CQ9 彩票,"mobile,web",en,TRUE,TRUE,CQ9 lottery,en
,,,,vn,,,Xổ số CQ9,vn
,,,,zh-cn,,,CQ9 彩票,zh-cn
,,,,zh-tw,,,CQ9 彩票,zh-tw
slot,185,Dragon Ball,web,en,TRUE,FALSE,Dragon Ball,en
,,,,th,,,ดรากอนส์ บอล,th
,,,,ja,,,竜火の玉,ja
,,,,ko,,,드래곤 볼,ko
,,,,zh-cn,,,龙珠,zh-cn
slot,186,Fire Queen 2,web,th,TRUE,FALSE,ราชินีเพลิง 2,th
,,,,ko,,,파이어 퀸 2,ko
,,,,zh-cn,,,火之女王2,zh-cn
,,,,en,,,Fire Queen 2,en
slot,195,Lord Ganesha,web,zh-cn,TRUE,FALSE,富贵象,zh-cn
,,,,en,,,Lord Ganesha,en
,,,,th,,,พระพิฆเนศ,th
,,,,ko,,,가네샤,ko
arcade,196,Tenfold Eggs,web,en,TRUE,FALSE,十倍金喜,zh-cn
,,,,th,,,Tenfold Eggs,en
,,,,ja,,,ไข่เต็นฟอลด์,th
,,,,zh-cn,,,テンフォールド・エッグス,ja
arcade,200,Alice Run,web,zh-cn,TRUE,FALSE,跑跑爱丽丝,zh-cn
,,,,en,,,Alice Run,en
,,,,th,,,อลิซรัน,th
slot,AS04,Fortune Spirits,"web,mobile",en,TRUE,FALSE,Fortune Spirits,en
,,,,zh-cn,,,财富幽灵,zh-cn
slot,108,Jump Higher mobile,web,id,TRUE,FALSE,Salto más alto Móvil,es
,,,,es,,,Pulo Alto Mobile,pt-br
,,,,pt-br,,,直式跳更高,zh-cn
,,,,vn,,,Jump Higher Mobile,en
,,,,th,,,점프 하이어 모바일,ko
,,,,ja,,,เกมส์กระโดดสูง M,th
,,,,zh-cn,,,Jump Higher Mobile,vn
,,,,en,,,もっとジャンプハイ モバイル,ja
,,,,ko,,,Melompat lebih tinggi Bergerak,id
slot,109,Rave Jump Mobile,web,ja,TRUE,FALSE,Rave Jump Bergerak,id
,,,,es,,,レイヴ・ジャンプ モバイル,ja
,,,,th,,,单手跳起来,zh-cn
,,,,id,,,Rave Jump Mobile,vn
,,,,zh-cn,,,Pulo Delírio Mobile,pt-br
,,,,vn,,,Rave Jump Mobile,en
,,,,pt-br,,,레이브 점프 모바일,ko
,,,,en,,,Salto rave Móvil,es
,,,,ko,,,เรพจั๊ม M,th
slot,111,Fly Out,web,id,TRUE,FALSE,Terbang,id
,,,,pt-br,,,Voar para fora,pt-br
,,,,es,,,Volar,es
,,,,ko,,,飞起来,zh-cn
,,,,zh-cn,,,飛翔,ja
,,,,ja,,,Fly Out,en
,,,,en,,,ทะยานขึ้นฟ้า,th
,,,,th,,,Fly Out,vn
,,,,vn,,,플라이 아웃,ko
slot,115,Snow Queen,web,pt-br,TRUE,FALSE,Rainha do Gelo,pt-br
,,,,zh-cn,,,冰雪女王,zh-cn
,,,,en,,,Snow Queen,en
,,,,ko,,,스노우 퀸,ko
,,,,th,,,ราชินีหิมะ,th
,,,,es,,,Reina de la nieve,es
slot,116,Wonderland,web,zh-cn,TRUE,FALSE,梦游仙境,zh-cn
,,,,en,,,Wonderland,en
,,,,ko,,,이상한 나라,ko
,,,,th,,,แดนมหัศจรรย์,th
,,,,pt-br,,,País das Maravilhas,pt-br
slot,117,5 God beasts,web,en,TRUE,FALSE,5 God beasts,en
,,,,ko,,,5 갓 비스트,ko
,,,,th,,,5 เทพอสูร,th
,,,,es,,,5 bestias de dios,es
,,,,pt-br,,,5 Bestas de Deus,pt-br
,,,,zh-cn,,,东方神起,zh-cn
slot,221,Detective Dee 2,web,en,TRUE,FALSE,狄仁杰四大天王,zh-cn
,,,,zh-cn,,,Detective Dee 2,en
slot,123,Lucky Bats M,web,th,TRUE,FALSE,Morcegos de Sorte M,pt-br
,,,,pt-br,,,直式五福临门,zh-cn
,,,,zh-cn,,,Lucky Bats M,en
,,,,en,,,럭키 뱃 M,ko
,,,,ko,,,ลัคกี้ แบท M,th
slot,132,Meow,web,pt-br,TRUE,FALSE,Miau,pt-br
,,,,zh-cn,,,再喵一个,zh-cn
,,,,en,,,Meow,en
,,,,ko,,,야옹,ko
fish,AT05,LuckyFishing,web,vn,TRUE,FALSE,欢乐捕鱼,zh-cn
,,,,zh-cn,,,LuckyFishing,en
,,,,en,,,Pesca con suerte,es
,,,,es,,,럭키 피싱,ko
,,,,ko,,,Удачная рыбалка,ru
,,,,ru,,,ตกปลานำโชค,th
,,,,th,,,Bắn Cá Vui Vẻ,vn
slot,184,Six Gacha,web,zh-cn,TRUE,FALSE,六颗扭蛋,zh-cn
,,,,en,,,Six Gacha,en
,,,,ko,,,식스 가차,ko
table,BT02,Banker Dice Bull-Bull,web,th,TRUE,FALSE,Banker Dice Bull-Bull,en
,,,,vn,,,ลูกเต๋าเจ้ามือ กระทิง-กระทิง,th
,,,,zh-cn,,,Ngầu Hầm Lắc,vn
,,,,en,,,抢庄骰子牛牛,zh-cn
slot,187,Wing Chun,web,th,TRUE,FALSE,หย่งชุน,th
,,,,ko,,,윙춘,ko
,,,,zh-cn,,,咏春,zh-cn
,,,,en,,,Wing Chun,en
slot,188,Cricket Fever,web,en,TRUE,FALSE,Cricket Fever,en
,,,,ko,,,크리켓 열병,ko
,,,,th,,,คริกเก็ตบ้าคลั่ง,th
,,,,zh-cn,,,板球狂热,zh-cn
slot,194,Fortune Dragon,web,ko,TRUE,FALSE,포춘 드래곤,ko
,,,,zh-cn,,,飞龙在天,zh-cn
,,,,en,,,Fortune Dragon,en
,,,,th,,,มังกรแห่งโชคลาภ,th
table,BT03,Peeking Banker Bull-Bull,web,vn,TRUE,FALSE,Peeking Banker Bull-Bull,en
,,,,zh-cn,,,ชิงเจ้า ไพ่ Bull-Bull,th
,,,,en,,,Giành nhà cái xem bài,vn
,,,,th,,,抢庄眯牌牛牛,zh-cn
arcade,AT101,奔驰宝马,web,en,TRUE,FALSE,Supercars,en
,,,,zh-cn,,,奔驰宝马,zh-cn
slot,5007,Da Fa Cai,web,th,TRUE,FALSE,大发财,zh-cn
,,,,zh-cn,,,Da Fa Cai,en
,,,,en,,,ดา ฟ้า ใช้,th
slot,5008,Da Hong Zhong,web,th,TRUE,FALSE,ดา หงส์ จง,th
,,,,zh-cn,,,大红中,zh-cn
,,,,en,,,Da Hong Zhong,en
slot,5009,Uproar in Heaven,web,vn,TRUE,FALSE,천국의 소란,ko
,,,,ko,,,大闹天宫,zh-cn
,,,,zh-cn,,,Uproar in Heaven,en
,,,,en,,,ความโกลาหลในสวรรค์,th
,,,,th,,,Đại Náo Thiên Cung,vn
slot,206,Sweet POP,web,zh-cn,TRUE,FALSE,甜蜜暴击,zh-cn
,,,,en,,,Sweet POP,en
,,,,th,,,ป๊อป หวาน,th
slot,210,Oo Ga Cha Ka,web,zh-cn,TRUE,FALSE,呜嘎吓嘎,zh-cn
,,,,en,,,Oo Ga Cha Ka,en
,,,,th,,,อู กา ชา ก้า,th
slot,212,Burning Xi-You,web,zh-cn,TRUE,FALSE,火爆西游,zh-cn
,,,,en,,,Burning Xi-You,en
,,,,th,,,ไซอิ๋วลุกเป็นไฟ,th
arcade,213,Mini Roulette,web,th,TRUE,FALSE,มินิรูเล็ต,th
,,,,zh-cn,,,迷你轮盘,zh-cn
,,,,en,,,Mini Roulette,en
slot,214,Ninja Raccoon,web,en,TRUE,FALSE,Ninja Raccoon,en
,,,,th,,,นินจา แรคคูน,th
,,,,zh-cn,,,忍者浣熊,zh-cn
arcade,GO01,Dragon Ball Dozer,"web,mobile",en,TRUE,FALSE,Dragon Ball Dozer,en
,,,,th,,,ดราก้อนบอล Dozer,th
,,,,vn,,,Ngọc Rồng Đẩy Xu,vn
,,,,zh-cn,,,龙珠推币机,zh-cn
slot,qatest0428,qatest0428,"mobile,web",zh-cn,TRUE,FALSE,qatest0428,zh-cn
arcade,GB1,３２１发射,"web,mobile",th,TRUE,FALSE,3 2 1 พุ่งจ๊วดดด,th
,,,,zh-tw,,,３２１發射,zh-tw
,,,,zh-cn,,,３２１发射,zh-cn
,,,,en,,,3 2 1 Go!,en
,,,,ko,,,3 2 1 발사,ko
arcade,GB198,Hanuman Bingo,"web,mobile",th,TRUE,FALSE,หนุมานบิงโก,th
,,,,zh-cn,,,彩猴宾果,zh-cn
,,,,en,,,Hanuman Bingo,en
slot,215,Hot Pinatas,web,en,TRUE,FALSE,เผ็ชซี้ด,th
,,,,th,,,辣爆了,zh-cn
,,,,zh-cn,,,Hot Pinatas,en
slot,211,King of Atlantis,web,en,TRUE,FALSE,King of Atlantis,en
,,,,th,,,คิงออฟแอตแลนติส,th
,,,,zh-cn,,,海王,zh-cn
slot,GB2,怪兽猎人,web,zh-cn,TRUE,FALSE,Monster Hunter,en
,,,,en,,,มอนสเตอร์ ฮันเตอร์,th
,,,,th,,,몬스터 헌터,ko
,,,,ko,,,怪兽猎人,zh-cn
arcade,216,Xoc Dia,web,th,TRUE,FALSE,色碟,zh-cn
,,,,zh-cn,,,Xoc Dia,en
,,,,en,,,เหรียญสีนำโชค,th
arcade,217,Mahjong Fruit,web,zh-cn,TRUE,FALSE,麻将水果盘,zh-cn
,,,,en,,,Mahjong Fruit,en
,,,,th,,,มาจองฟรุ้ต,th
slot,177,Aladdin's lamp,web,en,TRUE,FALSE,Aladdin's lamp,en
,,,,th,,,จินนี่จ๋า,th
,,,,zh-cn,,,小伙与神灯,zh-cn
slot,GB6,富贵小象神,web,zh-cn,TRUE,FALSE,富贵小象神,zh-cn
,,,,en,,,Ganesha Jr.,en
,,,,ko,,,작은 코끼리신,ko
,,,,th,,,พระพิฆเนศน้อย  ผู้มั่งคั่ง,th
,,,,vn,,,Thần Voi Phú Quý,vn
slot,218,Dollar Bomb,web,zh-cn,TRUE,FALSE,达拉崩吧,zh-cn
,,,,en,,,Dollar Bomb,en
,,,,th,,,ดอลล่าร์ บอม,th
slot,219,King Kong Shake,web,zh-cn,TRUE,FALSE,金猩特调,zh-cn
,,,,th,,,คิงคอง เชค,th
,,,,en,,,King Kong Shake,en
slot,220,Floating Market,web,zh-cn,TRUE,FALSE,这市集绝了,zh-cn
,,,,en,,,Floating Market,en
,,,,th,,,ตลาดน้ำดำเนินโชค,th
slot,222,Loy Krathong,web,zh-cn,TRUE,FALSE,水上泰神祈,zh-cn
,,,,en,,,Loy Krathong,en
,,,,th,,,ลอย ลอย กระทง,th
slot,GB3,转转金币,"mobile,web",th,TRUE,FALSE,Coin Spinner,en
,,,,ko,,,Coin Spinner,th
,,,,zh-cn,,,코인 스피너,ko
,,,,en,,,转转金币,zh-cn
fish,GO02,Hero Fishing,web,zh-cn,TRUE,FALSE,ฮีโร่  นักยิงปลา,th
,,,,en,,,ANH HÙNG BẮN CÁ,vn
,,,,th,,,英雄捕鱼,zh-cn
,,,,vn,,,Hero Fishing,en
arcade,1200,Alice Run JP,web,th,TRUE,FALSE,อลิซรัน แจ็คพ็อต,th
,,,,zh-cn,,,跑跑爱丽丝JP,zh-cn
,,,,en,,,Alice Run JP,en
slot,GB5,热音DJ,"mobile,web",th,TRUE,FALSE,핫 DJ,ko
,,,,ko,,,热音DJ,zh-cn
,,,,zh-cn,,,Hot DJ,en
,,,,en,,,ดีเจสุดฮอต,th
slot,GB8,金鲤敲钟,"mobile,web",en,TRUE,FALSE,Dragon Koi,en
,,,,th,,,ปลาคราฟ มังกร,th
,,,,ko,,,드래곤 코이,ko
,,,,zh-cn,,,金鲤敲钟,zh-cn
sport,CF01,CF體育投注,"mobile,web",zh-tw,TRUE,TRUE,sportsbook,en
,,,,en,,,CF体育投注,zh-cn
,,,,zh-cn,,,CF體育投注,zh-tw
slot,223,Acrobatics,web,zh-cn,TRUE,FALSE,百戏,zh-cn
,,,,en,,,Acrobatics,en
,,,,th,,,นักกายกรรม,th
,,,,ko,,,곡예,ko
arcade,GB11,泰式鱼虾蟹,"mobile,web",vn,TRUE,FALSE,타이 생선 새우 게,ko
,,,,zh-cn,,,น้ำเต้าปูปลา,th
,,,,en,,,Bầu Cua Tôm Cá Thái,vn
,,,,ko,,,泰式鱼虾蟹,zh-cn
,,,,th,,,Thai Fish Prawn Crab,en
slot,226,Lucky Tigers,web,zh-cn,TRUE,FALSE,多虎多财,zh-cn
,,,,en,,,Lucky Tigers,en
,,,,th,,,เสือน้อยสุดเฮง,th
,,,,ko,,,럭키 타이거,ko
live,GINKGO01,Motivation,web,zh-tw,TRUE,FALSE,motivation,ja
,,,,en,,,motivation,zh-cn
,,,,ja,,,motivation,zh-tw
,,,,zh-cn,,,motivation,en
slot,225,Mr. Miser,web,th,TRUE,FALSE,Mr. Miser,en
,,,,zh-cn,,,재물광 요정,ko
,,,,en,,,ภูติจิ๋วเฝ้าทรัพย์,th
,,,,ko,,,财迷小妖,zh-cn
arcade,224,K.O. Island,web,en,TRUE,FALSE,เกาะผจญภัย,th
,,,,ko,,,冒险岛,zh-cn
,,,,th,,,K.O. Island,en
,,,,zh-cn,,,모험섬,ko
sport,qatest05,qatest05,"mobile,web",zh-cn,TRUE,FALSE,qatest05,zh-cn
table,GO03,Thai Pok Deng,web,en,TRUE,FALSE,Thai Pok Deng,en
,,,,th,,,ป๊อกเด้งไทย,th
,,,,zh-cn,,,泰式博丁,zh-cn
slot,227,888 Cai Shen,web,zh-cn,TRUE,FALSE,发发发财神,zh-cn
,,,,en,,,888 Cai Shen,en
,,,,ko,,,대박 재물신,ko
,,,,th,,,ฟาชัยเซ็น แจกไม่อั้น,th
slot,GB9,足球狂熱,web,th,TRUE,FALSE,ฟุตบอลฟีเวอร์,th
,,,,zh-cn,,,足球狂热,zh-cn
,,,,en,,,Football Fever,en
,,,,ko,,,축구 열풍,ko
slot,228,Mirror Mirror,web,zh-cn,TRUE,FALSE,魔镜魔镜,zh-cn
,,,,en,,,Mirror Mirror,en
,,,,ko,,,미러미러,ko
,,,,th,,,กระจกวิเศษ,th
slot,229,Night City,web,zh-cn,TRUE,FALSE,不夜城,zh-cn
,,,,en,,,Night City,en
,,,,ko,,,불야성,ko
,,,,th,,,ตะลุยราตรี,th
slot,GB12,鸣梁,"web,mobile",vn,TRUE,FALSE,Đại thủy chiến,vn
,,,,zh-cn,,,鸣梁,zh-cn
,,,,en,,,Myeong-ryang,en
,,,,ko,,,명량,ko
,,,,th,,,ขุนพลคลื่นคำราม,th
arcade,GB10,通比花鬪牌,"mobile,web",en,TRUE,FALSE,Seotda,en
,,,,ko,,,섯다,ko
,,,,zh-cn,,,通比花鬪牌,zh-cn
slot,230,Baseball Fever,web,th,TRUE,FALSE,열혈야구,ko
,,,,zh-cn,,,เบสบอส นักหวดมือฉมัง,th
,,,,en,,,棒球狂热,zh-cn
,,,,ko,,,Baseball Fever,en
slot,GB13,直式足球狂热,web,ko,TRUE,FALSE,Football Fever M,en
,,,,th,,,축구 열풍 M,ko
,,,,vn,,,ฟุตบอลฟีเวอร์ M,th
,,,,zh-cn,,,Bóng Đá Cuồng Nhiệt M,vn
,,,,en,,,直式足球狂热,zh-cn
slot,231,Striker WILD,web,en,TRUE,FALSE,Striker WILD,en
,,,,ko,,,태극전사,ko
,,,,th,,,กองหน้าเพชฌฆาต,th
,,,,zh-cn,,,狂野前锋,zh-cn
slot,241,The Chicken House,web,th,TRUE,FALSE,The Chicken House,en
,,,,zh-cn,,,치킨 하우스 ,ko
,,,,en,,,กุ๊กกุ๊กไก่,th
,,,,ko,,,咕咕鸡,zh-cn
arcade,GB7,神鬼秘宝,web,zh-cn,TRUE,FALSE,神鬼秘宝,zh-cn
,,,,en,,,Mummy's Treasure,en
,,,,ko,,,미라의 보물,ko
,,,,th,,,คลังสมบัติมัมมี่,th
slot,GB15,三国英雄-曹操,web,ko,TRUE,FALSE,삼국지 영웅 - 조조,ko
,,,,th,,,วีรบุรุษแห่ง 3 ก๊ก - โจโฉ,th
,,,,vn,,,Anh Hùng Tam Quốc - Tào Tháo,vn
,,,,zh-cn,,,三国英雄-曹操,zh-cn
,,,,en,,,Hero of the 3 Kingdoms - Cao Cao,en