name,zh-tw,zh-cn,en,ko,th,vi,es,id,pt-br,ja
failed:verify,,,Verification failed,,,,,,,
success:wallet,Wallet transfer complete!,Wallet transfer complete!,Wallet transfer complete!,,,,,,,
success:txnSuccess,has been added to your account. GLHF!,has been added to your account. GLHF!,has been added to your account. GLHF!,,,,,,,
deposit:processing,,,Your deposit request is processing,,,,,,,
success:txnSent,,,Transaction has been sent. Please standby while we verify,,,,,,,
success:waiting,,,Waiting for verification,,,,,,,
alert:phone,,,Phone number error,,,,,,,
alert:SMSserver,,,"There is a problem with the SMS server, please try again",,,,,,,
alert:invalidPhone,,,Invalid phone number,,,,,,,
alert:txnAlready,,,We are busy verifying your first request,,,,,,,
alert:pleaseWait,,,Please wait,,,,,,,
alert:clickHere,,,Click here to see status,,,,,,,
alert:timeout,,,It may take a few minutes for your transaction to appear on the blockchain. Please try again later,,,,,,,
alert:failed,,,Transaction is not verified yet,,,,,,,
alert:checkWallet,Please check if your wallet app is already open,Please check if your wallet app is already open,Your wallet app is already open somewhere,,,,,,,
alert:wallet,Wallet error,Wallet error,Wallet error,,,,,,,
alert:amount0,Please select a blockchain,Please select a blockchain,Amount is zero,,,,,,,
alert:incomplete,Incomplete,Incomplete,Incomplete,,,,,,,
alert:selectCrypto,,,Please select a cryptocurrency,,,,,,,
alert:selectChain,Please select a blockchain,Please select a blockchain,Please select a network,,,,,,,
button:reverify,Re-verify the transaction,Re-verify the transaction,Re-verify the transaction,,,,,,,
title:Transaction History,退款紀錄,退款紀錄,Transaction History,,,,,,,
title:Gaming History,遊戲紀錄,遊戲紀錄,Gaming History,,,,,,,
date,日期,日期,Date,,,,,,,
na,,,N/A,,,,,,,
hi,您好,您好,Hi,,,,,,,
playnow,現在玩!,現在玩!,Play Now!,,,,,,,
or log in with,其他登入方式,其他登入方式,or log in with,,,,,,,
log in,登入,登入,Log in,로그인,เข้าสู่ระบบ,Đăng nhập,Acceso,Gabung,Conecte-se,ログイン
log out,登出,登出,Log out,,,,,,,
download metamask,Download MetaMask,Download MetaMask,Download MetaMask,,,,,,,
totalBalanceAfter,,,Your total balance after deposit,,,,,,,
yourBalance,,,Your balance,,,,,,,
withdraw,,,Withdraw,,,,,,,
deposit,存款,存款,Deposit,,,,,,,
try again later,,,Please try again later,,,,,,,
network:down,,,Game network is currently down,,,,,,,
txn:insufficient,,,Most likely unsufficient funds in your wallet,,,,,,,
txn:depositing,,,Depositing,,,,,,,
txn:complete,,,Complete,,,,,,,
txn:pending,,,Pending,,,,,,,
txn:checking,,,Checking,,,,,,,
txn:failed,,,Unverified,,,,,,,
choose amount,Use shortcut buttons or enter amount manually,Use shortcut buttons or enter amount manually,Choose amount,,,,,,,
choose chain,Choose network,Choose network,Choose network,,,,,,,
send,Send,Send,Send,,,,,,,
deposit:onlyUSDT,,,Only USDT on the ERC20 Blockchain is accepted at the moment,,,,,,,
only2decimals,,,Only 2 decimals are supported,,,,,,,
withdraw:missingWallet,,,Missing wallet ID,,,,,,,
withdraw:24hours,,,It may take up to 24 hours for us to verify the request. Sorry for the inconvenience 🫡,,,,,,,
withdraw:requestSent,,,Withddraw request sent,,,,,,,
withdraw:theMinimum,,,The minimum amount to withdraw is 20 USDT,,,,,,,
withdraw:toolittle,,,Enter 20 USDT or more,,,,,,,
withdraw:toomuch,,,You don't have enough,,,,,,,
withdraw:walletID,,,Wallet ID,,,,,,,
amount,Amount,Amount,Amount,,,,,,,
choose currency,Choose currency,Choose currency,Choose currency,,,,,,,
crypto wallet,crypto wallet,crypto wallet,Crypto wallet,,,,,,,
address set,address set,address set,Address successfully set,,,,,,,
connect wallet,Connect wallet,Connect wallet,Connect,,,,,,,
change wallet,Change wallet,Change wallet,Change wallet,,,,,,,
txnHistory,Txn History,Txn History,Transactions,,,,,,,
gamehistory,歷史,歷史,Game History,,,,,,,
profile,輪廓,轮廓,Profile,,,,,,,
register,註冊,注册,Sign up,등록하다,ลงทะเบียน,Đăng ký,Registro,Daftar,Registro,登録
lets go,,,Let's go!,,,,,,,
top-games,最紅的遊戲,最紅的遊戲,Top Games,,,,,,,
slots,老虎機,老虎机,Slots,,,,Tragamonedas,,,スロット
baccarat,百家樂,百家乐,Baccarat,,,,Bacará,,,バカラ
live baccarat,真人百家樂,真人百家乐,Live Baccarat,,,,,,,
fishing,釣魚,钓鱼,Fishing,,,,Pesca,,,釣り
arcade,拱廊,拱廊,Arcade,,,,Arcada,,,アーケード
pvp,玩家對戰,玩家对战,PvP,,,,JcJ,,,PvP
email,郵件,邮件,Email,,,,,,,
password,密碼,密码,Password,,,,,,,
keep me logged in,保持登錄狀態,保持登录状态,Keep me logged in,,,,,,,
forgot password,忘記密碼,忘记密码,Forgot password,,,,,,,
bonus,獎金,奖金,Bonus,,,,,,,
loading,加載中,加载中,Loading,,,,,,,
enter your email to update password,輸入您的電子郵件以更新密碼,输入您的电子邮件以更新密码,Enter your email to update password,,,,,,,
send email,發電子郵件,发电子邮件,Send email,,,,,,,
username,用戶名,用户名,Username,,,,,,,
check email,,,Check your email,,,,,,,
verify account,驗證賬戶,验证账户,Verify account,,,,,,,
language,語言,語言,Language,,,,,,,
alert:serverReset,,,Server reset,,,,,,,
email sent to,一封電子郵件已發送給您。請檢查您的收件箱並單擊電子郵件中的鏈接進行驗證。,一封电子邮件已发送给您。 请检查您的收件箱并单击电子邮件中的链接进行验证。,You must verify your account before you can log in. An e-mail has been sent to you. Please check your inbox or spam folder and click the link in the email to verify your account.,,,,,,,
account exists,存在具有此用戶名的帳戶,存在具有此用户名的帐户,Account already exists,,,,,,,
account exists but not activated,帳戶存在但未激活,帐户存在但未激活,Account exists but not activated,,,,,,,
created not verified,您的帳戶已創建但尚未驗證,您的帐户已创建但尚未验证,Your account is created but not verified yet,,,,,,,
username more than 2,用戶名必須超過 2 個字符,用户名必须超过 2 个字符,Username must be more than 2 characters,,,,,,,
password:missing,,,Missing password,,,,,,,
invalid email format,電子郵件格式無效,电子邮件格式无效,Invalid e-mail format,,,,,,,
recaptcha not verified,reCaptcha 未驗證,reCaptcha 未验证,reCaptcha not verified,,,,,,,
reload:msg,重新加載網站,重新加载网站,"Sorry, something went wrong! Please reload the website",,,,,,,
reload:title,,,Lost connection to server,,,,,,,
reset password,重設密碼,重设密码,Reset password,,,,,,,
password has been updated,密碼已更新。您可以立即登錄！,密码已更新。 您可以立即登录！,Password has been updated. Please play responsibly!,,,,,,,
account not found,找不到帳戶,找不到帐户,Account not found,,,,,,,
token expired,令牌已過期，請重試,令牌已过期，请重试,"Token expired, please try again",,,,,,,
invalid email or password,無效的電子郵件或密碼,无效的电子邮件或密码,Invalid e-mail or password,,,,,,,
account verification,帳戶驗證,帐户验证,Account verification,,,,,,,
account already verified,帳戶已驗證。請登錄,帐户已验证。 请登录,Account activated! Please play responsibly!,,,,,,,
confirmation link,確認鏈接無效或已過期,确认链接无效或已过期,The confirmation link is invalid or has expired,,,,,,,
password must be 8 chars,密碼必須為 8 個字符或更多,密码必须为 8 个字符或更多,Password must be 8 characters or more,,,,,,,
password missing number,密碼缺少數字 (0-9),密码缺少数字 (0-9),Password missing numerical digit (0-9),,,,,,,
password missing uppercase digit,密碼缺少大寫數字 (A-Z,密码缺少大写数字 (A-Z,Password missing uppercase digit (A-Z,,,,,,,
password missing lowercase,密碼缺少小寫數字 (a-z),密码缺少小写数字 (a-z),Password missing lowercase digit (a-z),,,,,,,
resend verification,重新發送驗證郵件,重新发送验证邮件,Re-send verification email,,,,,,,
email-activate,歡迎光臨！感謝您的註冊。請點擊此鏈接激活您的帳戶:,欢迎光临！ 感谢您的注册。 请点击此链接激活您的帐户:,Welcome to Gambit's Casino! Please follow this link to activate your account:,,,,,,,
thank you,謝謝,谢谢,Thank you,,,,,,,
please verify your email,請驗證您的電子郵件,请验证您的电子邮件,Please verify your email,,,,,,,
password reset,重設密碼,重设密码,Password Reset,,,,,,,
email-reset-pass,歡迎！請點擊此鏈接重置您的密碼：,欢迎！ 请点击此链接重置您的密码：,Welcome! Please follow this link to reset your password:,,,,,,,
slots-action,行動,行动,Action,,,,,,,
slots-animals,動物,动物,Animals,,,,,,,
slots-jump,跳,跳,Jump,,,,,,,
slots-cute,可愛的,可爱的,Cute,,,,,,,
slots-fantasy,幻想,幻想,Fantasy,,,,,,,
slots-treasure,寶藏,宝藏,Treasure,,,,,,,
get rewards,,,Get rewards,,,,,,,
rewards:5050,,,50% profit share,,,,,,,
rewards:description,,,Copy and share your referral link.,,,,,,,
rewards:description bold,,,50% of all profits from your referrals will be given to you!,,,,,,,
copy,,,Copy,,,,,,,
verify,,,Verify,,,,,,,
referral,,,Referral,,,,,,,
done,,,Done,,,,,,,
bonus:signup,,,sign up bonus!,,,,,,,
signup bonus:title,,,Sign up bonus,,,,,,,
signup bonus:desc,,,Get free credits for signing up!,,,,,,,
signup bonus:link,,,Click here for more details,,,,,,,
bonus rewards:title,,,Bonus rewards!,,,,,,,
bonus rewards:desc,,,There are several ways to get bonuses!,,,,,,,
signup bonus:desc long,,,Finish the following tasks and you will unlock bonus features!,,,,,,,
socials:discord,,,"Enter raffles, contests, and events. Get customer support or just come hang with us 🙃",,,,,,,
socials:twitter,,,"Giveways, raffles!",,,,,,,
snb:task:phone:success,,,Your phone number has been verified!,,,,,,,
snb:task:sms,,,Verify phone number,,,,,,,
snb:task:twitter,,,Retweet and follow us on Twitter,,,,,,,
snb:task:discord,,,Join us on Discord,,,,,,,
snb:task:egg,,,Find the blog.gambits.vip Easter Egg,,,,,,,
snb:task:play100,,,Play 100 USDT,,,,,,,
sms verify,,,Verify your account with SMS,,,,,,,
sms:title,,,Gambit's code:,,,,,,,
sms:expires,,,Expires in 15 minutes,,,,,,,
sms enter code,,,Enter the code from SMS,,,,,,,
sms:error:phoneExists,,,"Phone number already used, please try a different one",,,,,,,
sms:error:incorrectPin,,,Incorrect pin,,,,,,,
sms:error:incorrectPhone,,,Incorrect phone number,,,,,,,
sms:error:expired,,,OTP pin expired. Please try again,,,,,,,